State,Precinct,Link,Address 1,Address 2,Address 3,Address 4,Address 5,Email 1,Email 2,Email 3,Email 4,Email 5,Official 1 Title,Official 1 Name,Official 1 Email,Official 2 Title,Official 2 Name,Official 2 Email,Official 3 Title,Official 3 Name,Official 3 Email,Official 4 Title,Official 4 Name,Official 4 Email,Official 5 Title,Official 5 Name,Official 5 Email
Alabama,Jefferson County Bessemer Division,https://www.usvotefoundation.org/jefferson-county-bessemer-division-al-election-office,"Board of Registrars
716 RICHARD ARRINGTON JR BLVD N STE A-410
Birmingham AL, 35203","Circuit Clerk/Absentee Election Manager
1851 2nd Ave
Bessemer AL, 35020",,,,jefferson@vote.alabama.gov,karen.dunnburks@alacourt.gov,mark.eady@alacourt.gov,,,Board of Registrars,Barry Stephenson,jefferson@vote.alabama.gov,Bessemer Circuit Clerk/Absentee Election Manager,Karen Dunn-Burks,karen.dunnburks@alacourt.gov,Bessemer Chief Election Officer - Judge of Probate,Sherri Friday,jefferson@vote.alabama.gov,,,,,,
Alabama,Autauga County,https://www.usvotefoundation.org/autauga-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Baldwin County,https://www.usvotefoundation.org/baldwin-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Barbour County,https://www.usvotefoundation.org/barbour-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bibb County,https://www.usvotefoundation.org/bibb-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Blount County,https://www.usvotefoundation.org/blount-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bullock County,https://www.usvotefoundation.org/bullock-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Butler County,https://www.usvotefoundation.org/butler-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Calhoun County,https://www.usvotefoundation.org/calhoun-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chambers County,https://www.usvotefoundation.org/chambers-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cherokee County,https://www.usvotefoundation.org/cherokee-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chilton County,https://www.usvotefoundation.org/chilton-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Choctaw County,https://www.usvotefoundation.org/choctaw-county-al-election-office,,,,,,,,,,,,,,,,,,,,,,,,,
